"","model_name","training_time_std","performance_score","accuracy","precision","recall","dbscan"
"1","DLN_bank_002",0.9148062972,0.7634041356,0.8947089011,0.5564657695,0.6876355748,0
"2","DLN_bank_001",0.9232236814,0.7619363261,0.8869226686,0.5282714055,0.7093275488,0
"3","DLN_bank_003",0.8275990904,0.734522591,0.882321713,0.5137805512,0.7143890094,-1
"4","DLN_bank_005",0.9826766022,0.7742025675,0.8891346664,0.5366403608,0.6883586406,0
"5","DLN_bank_004",0.9232236814,0.7619363261,0.8869226686,0.5282714055,0.7093275488,0
"6","DLN_bank_007",0.9733789856,0.5545286077,0.1223677225,0.1223677225,1,-1
"7","DLN_bank_009",0.9232236814,0.7619363261,0.8869226686,0.5282714055,0.7093275488,0
"8","DLN_bank_008",0.9677582592,0.7712308977,0.8896655459,0.5384180791,0.6890817064,0
"9","DLN_bank_006",0.9710174057,0.7765990882,0.8873650681,0.529286475,0.7187274042,0
"10","DLN_bank_010",0.9300961376,0.7622938535,0.8880729075,0.5325248071,0.6984815618,0
"11","DLN_bank_012",0.9214833149,0.7531841953,0.8859493895,0.5263452915,0.6789587852,0
"12","DLN_bank_016",0.9650877419,0.7689645134,0.8897540258,0.5391652373,0.6818510484,0
"13","DLN_bank_013",0.7780706015,0.7181421175,0.8808175544,0.5094142259,0.7042660882,-1
"14","DLN_bank_017",0.9802924149,0.7768458676,0.8918775438,0.5461318052,0.6890817064,0
"15","DLN_bank_015",0.9800135342,0.774765607,0.8940010618,0.5554889022,0.6695589299,0
"16","DLN_kick_001",0.9729618866,0.6757619581,0.8788709235,0.4974457216,0.3537693006,1
"17","DLN_kick_002",0.9152677518,0.660307163,0.8718004933,0.4631522324,0.3910081744,2
"18","DLN_kick_004",0.9798134212,0.6974490167,0.890654974,0.5805447471,0.3387829246,3
"19","DLN_kick_003",0.8910912361,0.6585288687,0.8785420663,0.4957264957,0.3687556767,2
"20","DLN_kick_005",0.9797839314,0.6779738917,0.8734995889,0.4707828004,0.3878292461,1
"21","DLN_kick_006",0.9812830024,0.6707494229,0.8634146341,0.4304889741,0.4078110808,1
"22","DLN_bank_014",0.9894614828,0.781531522,0.8844452309,0.5197537199,0.7324656544,0
"23","DLN_kick_011",0.9732681424,0.6769526557,0.8734995889,0.4709429825,0.3900999092,1
"24","DLN_kick_010",0.9412357291,0.6591100407,0.8549191559,0.405680373,0.4346049046,1
"25","DLN_kick_007",0.982300454,0.5559204136,0.1206906002,0.1206906002,1,-1
"26","DLN_kick_009",0.5470764722,0.5749855248,0.8819950671,0.5161929941,0.3546775658,-1
"27","DLN_kick_013",0.8868209539,0.6556788693,0.874321732,0.4746518106,0.3869209809,2
"28","DLN_kick_012",0.8861913752,0.6503125153,0.8662647301,0.4414370079,0.4073569482,2
"29","DLN_kick_015",0.9770305373,0.6706422931,0.8596875856,0.4198746643,0.4259763851,1
"30","DLN_kick_014",0.9922318231,0.6796809276,0.8756371609,0.4802825191,0.3705722071,1
"31","DLN_kick_016",0.9589762306,0.6632019157,0.8600164429,0.4191919192,0.4146230699,1
"32","DTR_bank_001",0.9969927033,0.9304455897,0.8711143282,0.9292286564,0.9244466709,4
"33","DTR_bank_002",0.9961082281,0.9298350324,0.8703883925,0.9288879936,0.9239555155,4
"34","DLN_bank_011",0.9804540873,0.7793633039,0.8930277827,0.5498281787,0.694143167,0
"35","DTR_bank_006",0.999080383,0.7343067081,0.9030345926,0.63647343,0.3986384266,3
"36","DTR_bank_007",0.9987049266,0.7504894637,0.9020613996,0.595896521,0.5052950076,-1
"37","DLN_kick_008",0.96905646,0.6740769276,0.8755275418,0.4797891037,0.3719346049,1
"38","DTR_bank_005",0.9991484228,0.6586623479,0.8887905866,0.6045016077,0.1422087746,-1
"39","DTR_bank_008",0.998519373,0.7146565401,0.88215518,0.496105919,0.4818456884,5
"40","DTR_bank_009",0.9993861212,0.7132008428,0.8965761302,0.595267746,0.3615733737,3
"41","DTR_bank_010",0.9994327007,0.7132124876,0.8965761302,0.595267746,0.3615733737,3
"42","DTR_bank_011",0.9992407688,0.7313667928,0.9039193135,0.6690544413,0.3532526475,3
"43","DTR_bank_012",0.9988811671,0.7315205646,0.896310714,0.5702247191,0.4606656581,-1
"44","DTR_bank_013",0.9989116138,0.7330854476,0.8966646023,0.5715613383,0.465204236,6
"45","DTR_bank_014",0.9983902085,0.7109641286,0.8837476776,0.5033222591,0.4583963691,-1
"46","DTR_bank_003",0.9983897799,0.9323921446,0.8741926922,0.9322290678,0.9247570384,4
"47","DTR_bank_004",0.9984088045,0.9324784363,0.8742811643,0.9313646442,0.9258591324,4
"48","DTR_kick_002",0.9997068731,0.9089205585,0.827572301,0.9081672,0.90023586,4
"49","DTR_kick_001",0.9998506996,0.9070768716,0.8238428869,0.90861274,0.89600116,4
"50","DTR_kick_003",0.9997084843,0.9071064872,0.8244361126,0.9104067547,0.893874597,4
"51","DTR_kick_004",0.9998506996,0.9068423592,0.8238428869,0.9097826749,0.8938931754,4
"52","DTR_kick_005",0.9963560604,0.9073312593,0.8238428869,0.90978268,0.89934341,4
"53","DTR_kick_006",0.9997551491,0.9086823647,0.8273418597,0.91052019,0.89711226,4
"54","DTR_bank_017",0.9990774362,0.4705293343,0.8830399009,0,0,-1
"55","DTR_bank_015",0.9983484902,0.7073283869,0.8741926922,0.4643366619,0.4924357035,5
"56","DTR_kick_007",0.9996938967,0.9121565437,0.8296780579,0.9091946,0.91005962,4
"57","DTR_bank_016",0.9982872958,0.7073130883,0.8741926922,0.4643366619,0.4924357035,5
"58","DTR_kick_009",0.9997334817,0.7587351978,0.5538937597,0.94167128,0.53964227,-1
"59","DTR_kick_008",0.999915003,0.7212268168,0.6283307547,0.6283307547,0.6283307547,7
"60","DTR_kick_010",0.9983868886,0.8096230446,0.7467017633,0.7467017633,0.7467017633,8
"61","DTR_kick_012",0.9968789932,0.9537183529,0.9393314728,0.9393314728,0.9393314728,4
"62","DTR_kick_011",0.9971788196,0.9461344233,0.9291196245,0.9291196245,0.9291196245,4
"63","DTR_kick_013",0.9997334817,0.7587351978,0.5538937597,0.94167128,0.53964227,-1
"64","DTR_kick_014",0.9992778134,0.7188905557,0.6254281365,0.6254281365,0.6254281365,7
"65","DTR_kick_017",0.9986033308,0.8868368659,0.8495813776,0.8495813776,0.8495813776,9
"66","DTR_kick_016",0.9985788272,0.817758052,0.7574844602,0.7574844602,0.7574844602,8
"67","DTR_kick_018",0.9982684124,0.9536772135,0.9384751998,0.9389826208,0.9389826208,4
"68","DTR_kick_015",0.9992509011,0.7534915278,0.6715717366,0.6715717366,0.6715717366,7
"69","DTR_kick_020",0.9995663628,0.6248915907,0.5,0.5,0.5,10
"70","DTR_kick_019",0.9981393488,0.9539065865,0.9387606241,0.9393631866,0.9393631866,4
"71","GBE_bank_001",0.9613124506,0.7869938796,0.8976915005,0.5509641873,0.7380073801,0
"72","DTR_kick_021",0.9956375958,0.4914738234,0.9032188687,0.0666666667,0.0003721623,-1
"73","GBE_bank_002",0.92206726,0.7778449788,0.9006348087,0.5598388953,0.7288389513,0
"74","GBE_bank_004",0.8979791213,0.763375317,0.8891951979,0.520295203,0.746031746,0
"75","KNN_kick_001",0.9364485283,0.5158042803,0.8458670872,0.1510168758,0.1298846297,-1
"76","GBE_bank_003",0.935545393,0.7657483301,0.8941625266,0.5257971014,0.7074882995,0
"77","LGR_bank_001",0.9859870426,0.6818558635,0.8936565514,0.63824885,0.20953101,11
"78","LGR_bank_002",0.9747857847,0.7173145844,0.9013536229,0.64516129,0.34795764,3
"79","LGR_bank_003",0.9784612332,0.7220827563,0.9025922322,0.6562942,0.35098336,3
"80","LGR_bank_009",0.9810468234,0.7222220878,0.902415288,0.65444288,0.35098336,3
"81","LGR_bank_005",0.9751778181,0.714309355,0.9004689021,0.63892807,0.34266263,3
"82","LGR_bank_008",0.9765291596,0.7162456755,0.9009112625,0.64185393,0.34568835,3
"83","LGR_bank_010",0.9950904936,0.7225341117,0.9017959834,0.65588235,0.33736762,3
"84","LGR_bank_011",0.975485946,0.7140156856,0.9006458462,0.64483261,0.33509834,3
"85","LGR_bank_012",0.9840341071,0.6817582501,0.8937450234,0.63972286,0.20953101,11
"86","LGR_bank_013",0.981123957,0.7222413712,0.902415288,0.65444288,0.35098336,3
"87","LGR_bank_014",0.9975255123,0.7257701571,0.9023268159,0.65527066,0.34795764,3
"88","LGR_bank_015",0.9982632337,0.6839179422,0.8933911351,0.63146067,0.21255673,11
"89","LGR_bank_006",0.9778587443,0.7284351889,0.9006458462,0.6630727763,0.3721633888,3
"90","LGR_bank_016",0.9884401792,0.7112964842,0.8998495975,0.65886288,0.29803328,3
"91","LGR_bank_004",0.9970449957,0.7243908533,0.9019729275,0.65285714,0.34568835,3
"92","LGR_bank_017",0.984062154,0.7103163004,0.8998495975,0.65780731,0.29954614,3
"93","LGR_bank_018",0.9976268833,0.7148429398,0.9002034858,0.66275168,0.29878971,3
"94","LGR_bank_019",0.9757502852,0.7149550099,0.9009997346,0.64948454,0.33358548,3
"95","LGR_bank_020",0.9813951672,0.7210178453,0.9022383438,0.65701881,0.34341906,3
"96","LGR_bank_021",0.9976662228,0.7250856092,0.9022383438,0.65701881,0.34341906,3
"97","LGR_bank_024",0.9631774204,0.8024326907,0.892009953,0.757401831,0.5971415583,-1
"98","LGR_kick_001",0.999865405,0.2741053691,0.0965560713,0,0,-1
"99","LGR_bank_022",0.9610755498,0.9902688874,1,1,1,4
"100","LGR_kick_002",0.9918109322,0.5109846341,0.8414940139,0.1146157263,0.0960178638,-1
"101","NBY_bank_001",0.9996026382,0.9202700354,0.8509245333,0.91882068,0.91173229,4
"102","LGR_bank_023",0.9990228531,0.8088046521,0.8911805364,0.7555177687,0.5894974502,-1
"103","NBY_bank_002",0.9992838756,0.9187047548,0.8492435637,0.93439698,0.8918946,4
"104","NBY_bank_004",0.9999345969,0.787459405,0.8538567874,0.6473296652,0.6487165705,-1
"105","NBY_bank_003",0.9975878282,0.9993969571,1,1,1,4
"106","NBY_bank_005",0.999919212,0.7866155274,0.8718274813,0.6656340481,0.6090813682,-1
"107","NBY_kick_001",0.9997102342,0.9031786581,0.8859664203,0.8410715578,0.8859664203,12
"108","NBY_kick_002",0.9999201072,0.7556340019,0.5833476592,0.855920582,0.5833476592,-1
"109","NBY_kick_003",0.999758662,0.8681227153,0.8133631311,0.846005937,0.8133631311,9
"110","NBY_kick_005",0.9977984141,0.5796591611,0.6685783927,0.1464913226,0.5057685151,-1
"111","RFR_bank_001",0.9982795795,0.9477095737,0.9005911449,0.9198845027,0.9720830677,13
"112","NBY_kick_004",0.9997261893,0.755677378,0.5835195691,0.8559441844,0.5835195691,-1
"113","RFR_bank_003",0.9964680372,0.9487251651,0.903476953,0.92220745,0.97274822,13
"114","RFR_bank_004",0.9993483776,0.6807162222,0.8923294701,0.6829268293,0.1482602118,14
"115","RFR_bank_006",0.9965812487,0.7137054685,0.8992302928,0.6367713004,0.3222390318,3
"116","RFR_bank_005",0.9970545016,0.7138237817,0.8992302928,0.6367713004,0.3222390318,3
"117","RFR_bank_002",0.9970858017,0.9484027659,0.902415288,0.9203598485,0.9737501252,13
"118","RFR_bank_007",0.9970224663,0.7138157728,0.8992302928,0.6367713004,0.3222390318,3
"119","RFR_bank_008",0.985909039,0.7171643363,0.899407237,0.6187419769,0.3645990923,3
"120","RFR_bank_009",0.9991287265,0.7119075846,0.8879058657,0.8857092108,0.0748865356,-1
"121","RFR_bank_011",0.9986564208,0.6763523752,0.8910023887,0.6939655172,0.121785174,14
"122","RFR_bank_010",0.9987741108,0.6767723202,0.8842785101,0.80588235,0.01815431,-1
"123","RFR_bank_012",0.9982554495,0.6988514981,0.8992302928,0.75722433,0.14069592,-1
"124","RFR_bank_013",0.9983185895,0.6813648299,0.8921525259,0.6973180077,0.1376701967,14
"125","RFR_bank_014",0.9959809083,0.671811991,0.8900291958,0.69458128,0.10665658,14
"126","RFR_bank_017",0.917929299,0.7763603944,0.8922781942,0.5482207323,0.7470133521,0
"127","RFR_bank_015",0.9980610746,0.6880116176,0.8934796072,0.7092198582,0.1512859304,14
"128","RFR_bank_018",0.8465951362,0.7511995956,0.8959558169,0.5447247706,0.7175226586,-1
"129","RFR_bank_019",0.917929299,0.7763603944,0.8922781942,0.5482207323,0.7470133521,0
"130","RFR_bank_020",0.9100071354,0.7676352467,0.8896765618,0.5141213389,0.7567359507,0
"131","RFR_bank_016",0.9975958905,0.6920380874,0.8952490489,0.66350711,0.2118003,11
"132","RFR_bank_021",0.9983696871,0.7238442453,0.9048040343,0.62760417,0.36459909,3
"133","RFR_bank_022",0.9970362708,0.7300552067,0.9023268159,0.63659148,0.38426626,3
"134","RFR_bank_025",0.9969894343,0.7253824224,0.9015305671,0.638410596,0.3645990923,3
"135","RFR_bank_024",0.9969580432,0.7272049803,0.902415288,0.64938608,0.36006051,3
"136","RFR_bank_026",0.9988193651,0.7232667092,0.8974608511,0.5890710383,0.4077155825,3
"137","RFR_bank_027",0.9982333395,0.7180105786,0.8988764045,0.6163849155,0.3585476551,3
"138","LGR_bank_007",0.9973367677,0.7257229709,0.9023268159,0.65527066,0.34795764,3
"139","RFR_bank_023",0.9971626307,0.7272561272,0.902415288,0.64938608,0.36006051,3
"140","RFR_bank_029",0.9967432671,0.7271512885,0.902415288,0.6493860846,0.3600605144,3
"141","RFR_bank_028",0.9972888318,0.7403445347,0.9040077855,0.6326987682,0.4273827534,3
"142","RFR_bank_031",0.9956027785,0.7343866991,0.9045386181,0.66221629,0.37518911,3
"143","RFR_kick_001",0.9996856224,0.9507847292,0.9020609108,0.9044639571,0.9969284265,13
"144","RFR_kick_002",0.9995061526,0.9506213778,0.9018896186,0.90472332,0.99636642,13
"145","RFR_kick_003",0.9993055367,0.9489453298,0.899065643,0.9055685709,0.9918415685,13
"146","RFR_kick_004",0.9994883539,0.9506169281,0.9018896186,0.90472332,0.99636642,13
"147","RFR_bank_033",0.9978510652,0.7126111083,0.8986109882,0.7588235294,0.1951588502,-1
"148","RFR_bank_032",0.9987651758,0.4704512692,0.8830399009,0,0,-1
"149","RFR_kick_005",0.9994836148,0.9506157434,0.9018896186,0.90472332,0.99636642,13
"150","RFR_kick_006",0.9992708549,0.9496384531,0.9002189192,0.9046100319,0.9944540065,13
"151","RFR_kick_008",0.9975580488,0.8130074242,0.7514905493,0.7514905493,0.7514905493,8
"152","RFR_kick_007",0.9971813786,0.7033103136,0.6053532919,0.6053532919,0.6053532919,7
"153","RFR_kick_009",0.9974707662,0.8681914262,0.8250983128,0.8250983128,0.8250983128,9
"154","RFR_kick_010",0.9973123537,0.871576915,0.8296651021,0.8296651021,0.8296651021,9
"155","RFR_kick_011",0.995832617,0.9913706241,0.9898832932,0.9898832932,0.9898832932,4
"156","RFR_bank_030",0.9965204251,0.734206896,0.9033000088,0.63912515,0.397882,3
"157","RFR_kick_013",0.995107068,0.6988671514,0.6001205125,0.6001205125,0.6001205125,7
"158","RFR_kick_014",0.9995735352,0.7159675307,0.6214321959,0.6214321959,0.6214321959,7
"159","RFR_kick_015",0.9972762987,0.7131336123,0.6184193835,0.6184193835,0.6184193835,7
"160","RFR_kick_016",0.9994032286,0.7125712182,0.616960548,0.616960548,0.616960548,7
"161","RFR_kick_018",0.9976382343,0.7305398389,0.6415070405,0.6415070405,0.6415070405,7
"162","RFR_kick_020",0.9963549914,0.9845796777,0.9806545731,0.9806545731,0.9806545731,4
"163","RFR_kick_019",0.9958813978,0.7550514734,0.6747748319,0.6747748319,0.6747748319,7
"164","RFR_kick_021",0.9975501056,0.9340967107,0.9129455791,0.9129455791,0.9129455791,4
"165","RFR_kick_017",0.9991326781,0.7093876982,0.6128060383,0.6128060383,0.6128060383,7
"166","RFR_kick_022",0.9961324563,0.9830017808,0.978624889,0.978624889,0.978624889,4
"167","RFR_kick_023",0.9965620194,0.9868672586,0.9836356717,0.9836356717,0.9836356717,4
"168","RFR_kick_025",0.9985814691,0.9700801637,0.9605797285,0.9605797285,0.9605797285,4
"169","RFR_kick_024",0.9962275484,0.9867122848,0.9835405303,0.9835405303,0.9835405303,4
"170","RFR_kick_026",0.9963126708,0.9850448048,0.9812888494,0.9812888494,0.9812888494,4
"171","RFR_kick_027",0.9980101801,0.9843274848,0.9797665863,0.9797665863,0.9797665863,4
"172","RFR_kick_028",0.9966365538,0.9874805262,0.9844285171,0.9844285171,0.9844285171,4
"173","RFR_kick_012",0.9987353501,0.7086937322,0.6120131929,0.6120131929,0.6120131929,7
"174","RFR_kick_030",0.9948239946,0.987526879,0.9850945072,0.9850945072,0.9850945072,4
"175","RFR_kick_032",0.9987746964,0.7439534737,0.6590130661,0.6590130661,0.6590130661,7
"176","RFR_kick_033",0.9202644142,0.9800661035,1,1,1,-1
"177","RFR_kick_031",0.9997513199,0.6975069661,0.5967588482,0.5967588482,0.5967588482,7
"178","SVM_bank_001",0.999042288,0.6599312716,0.8859594798,0.5293072824,0.2254160363,-1
"179","SVM_bank_002",0.997538367,0.6080638661,0.8832168451,0.5416666667,0.0098335855,-1
"180","SVM_bank_004",0.9548309082,0.7263183237,0.9011766788,0.6059979317,0.4432677761,-1
"181","SVM_bank_007",0.9934217901,0.9983554475,1,1,1,4
"182","SVM_bank_006",0.9284655337,0.7020675944,0.9011766788,0.6624405705,0.3161875946,-1
"183","SVM_bank_003",0.9768895909,0.6955819484,0.8963991861,0.6268907563,0.2821482602,3
"184","RFR_kick_029",0.9957537706,0.9842390896,0.9804008626,0.9804008626,0.9804008626,4
"185","SVM_bank_008",0.9994961041,0.7059978856,0.8829969588,0.4414984794,0.5,5
"186","SVM_bank_009",0.9607615548,0.7512577966,0.7941940835,0.5986559913,0.6514195569,-1
"187","SVM_kick_002",0.9999016536,0.9057899134,0.9004068535,0.822444293,0.9004068535,12
"188","SVM_kick_001",0.9997329377,0.90512766,0.9005787634,0.8196201754,0.9005787634,12
"189","SVM_kick_003",0.9997630414,0.9058687315,0.9005214601,0.8226689643,0.9005214601,12
"190","SVM_kick_004",0.999909602,0.9069929068,0.8995473039,0.8289674176,0.8995473039,12
"191","RFR_kick_034",0.9848898708,0.7823727898,0.8781941495,0.756043627,0.5103635117,-1
"192","SVM_kick_006",0.9998020661,0.904963313,0.8985731477,0.8229048905,0.8985731477,12
"193","SVM_kick_005",0.9998622031,0.9058206715,0.8984012378,0.8266180073,0.8984012378,12
"194","SVM_kick_008",0.9969245615,0.6210933656,0.4960380349,0.4953728312,0.4960380349,10
"195","SVM_kick_009",0.9967697638,0.6424667027,0.5198098257,0.5334773956,0.5198098257,10
"196","SVM_kick_010",0.9968687131,0.6364462268,0.5134706815,0.5219748313,0.5134706815,10
"197","SVM_kick_007",0.996816905,0.6236099315,0.499207607,0.499207607,0.499207607,10
"198","SVM_bank_005",0.9342945011,0.7035248362,0.9011766788,0.6624405705,0.3161875946,3
