fam_name,nr_hyperparams_label,performance_gap,quantile_accuracy,quantile_recall,quantile_precision,platform,quantile_training_time,nr_dependencies
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-D,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-D,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-B,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-D,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-D,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-C,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-C,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-D,7
DLN,from_10_to_15,2,ACC-C,REC-C,PRE-E,h2O,TRA-D,7
DLN,from_10_to_15,2,ACC-C,REC-C,PRE-D,h2O,TRA-C,7
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-B,7
DLN,from_10_to_15,2,ACC-C,REC-C,PRE-D,h2O,TRA-B,7
DLN,from_10_to_15,2,ACC-C,REC-E,PRE-D,h2O,TRA-D,7
DLN,from_10_to_15,3,ACC-D,REC-B,PRE-E,h2O,TRA-B,7
DTR,from_5_to_10,3,ACC-D,REC-A,PRE-A,scikit,TRA-A,6
DTR,from_5_to_10,3,ACC-D,REC-A,PRE-A,scikit,TRA-A,6
DLN,from_10_to_15,2,ACC-C,REC-B,PRE-D,h2O,TRA-B,7
DTR,from_5_to_10,3,ACC-A,REC-D,PRE-C,scikit,TRA-A+,6
DTR,from_5_to_10,3,ACC-C,REC-D,PRE-D,scikit,TRA-A+,6
DTR,from_5_to_10,3,ACC-C,REC-D,PRE-D,scikit,TRA-A+,6
DTR,from_5_to_10,3,ACC-A,REC-D,PRE-B,scikit,TRA-A+,6
DTR,from_5_to_10,3,ACC-C,REC-C,PRE-D,scikit,TRA-A+,6
DTR,from_5_to_10,3,ACC-D,REC-A,PRE-A,scikit,TRA-A+,6
DTR,from_5_to_10,3,ACC-D,REC-A,PRE-A,scikit,TRA-A+,6
DTR,from_5_to_10,4,ACC-E,REC-B,PRE-A,scikit,TRA-A,6
DTR,from_5_to_10,4,ACC-E,REC-B,PRE-A,scikit,TRA-A,6
DTR,from_5_to_10,4,ACC-E,REC-B,PRE-A,scikit,TRA-A,6
DTR,from_5_to_10,4,ACC-E,REC-B,PRE-A,scikit,TRA-A,6
DTR,from_5_to_10,4,ACC-E,REC-B,PRE-A,scikit,TRA-C,7
DTR,from_5_to_10,4,ACC-E,REC-B,PRE-A,scikit,TRA-A,7
DTR,from_5_to_10,3,ACC-D,REC-A,PRE-A,scikit,TRA-B,6
DTR,from_5_to_10,4,ACC-E,REC-C,PRE-C,scikit,TRA-A+,6
DTR,from_5_to_10,3,ACC-E,REC-B,PRE-B,scikit,TRA-B,6
DTR,less_than_5,3,ACC-A,REC-A,PRE-A,scikit,TRA-C,6
DTR,from_10_to_15,3,ACC-A,REC-A,PRE-A,scikit,TRA-C,6
DTR,less_than_5,3,ACC-E,REC-C,PRE-C,scikit,TRA-B,6
DTR,less_than_5,2,ACC-D,REC-B,PRE-B,scikit,TRA-B,6
DTR,less_than_5,3,ACC-E,REC-B,PRE-B,scikit,TRA-B,6
DTR,less_than_5,3,ACC-A,REC-A,PRE-A,scikit,TRA-B,6
DTR,less_than_5,3,ACC-E,REC-C,PRE-B,scikit,TRA-B,6
DTR,less_than_5,3,ACC-A,REC-A,PRE-A,scikit,TRA-C,6
GBE,less_than_5,3,ACC-B,REC-B,PRE-D,h2O,TRA-C,7
GBE,less_than_5,3,ACC-B,REC-B,PRE-D,h2O,TRA-D,7
GBE,less_than_5,3,ACC-C,REC-B,PRE-E,h2O,TRA-D,7
GBE,less_than_5,3,ACC-C,REC-B,PRE-E,h2O,TRA-D,7
LGR,from_5_to_10,1,ACC-C,REC-E,PRE-C,scikit,TRA-B,6
LGR,from_5_to_10,2,ACC-B,REC-D,PRE-C,scikit,TRA-C,6
LGR,from_5_to_10,3,ACC-A,REC-D,PRE-C,scikit,TRA-B,6
