,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,0
0,58.0,management,married,tertiary,no,2143.0,yes,no,unknown,5.0,may,261.0,1.0,-1.0,0.0,unknown,0.0
1,44.0,technician,single,secondary,no,29.0,yes,no,unknown,5.0,may,151.0,1.0,-1.0,0.0,unknown,1.0
2,,,,,,,,,,,,,,,,,0.0
3,47.0,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5.0,may,92.0,1.0,-1.0,0.0,unknown,0.0
4,33.0,unknown,single,unknown,no,1.0,no,no,unknown,5.0,may,198.0,1.0,-1.0,0.0,unknown,0.0
5,,,,,,,,,,,,,,,,,0.0
6,28.0,management,single,tertiary,no,447.0,yes,yes,unknown,5.0,may,217.0,1.0,-1.0,0.0,unknown,0.0
7,42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,1.0,-1.0,0.0,unknown,0.0
8,58.0,retired,married,primary,no,121.0,yes,no,unknown,5.0,may,50.0,1.0,-1.0,0.0,unknown,0.0
9,,,,,,,,,,,,,,,,,0.0
10,,,,,,,,,,,,,,,,,0.0
11,,,,,,,,,,,,,,,,,0.0
12,,,,,,,,,,,,,,,,,1.0
13,58.0,technician,married,unknown,no,71.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0.0,unknown,0.0
14,,,,,,,,,,,,,,,,,0.0
15,,,,,,,,,,,,,,,,,0.0
16,,,,,,,,,,,,,,,,,0.0
17,57.0,blue-collar,married,primary,no,52.0,yes,no,unknown,5.0,may,38.0,1.0,-1.0,0.0,unknown,0.0
18,60.0,retired,married,primary,no,60.0,yes,no,unknown,5.0,may,219.0,1.0,-1.0,0.0,unknown,1.0
19,33.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,54.0,1.0,-1.0,0.0,unknown,0.0
20,,,,,,,,,,,,,,,,,0.0
21,,,,,,,,,,,,,,,,,0.0
22,,,,,,,,,,,,,,,,,0.0
23,25.0,services,married,secondary,no,50.0,yes,no,unknown,5.0,may,342.0,1.0,-1.0,0.0,unknown,0.0
24,40.0,retired,married,primary,no,0.0,yes,yes,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown,0.0
25,44.0,admin.,married,secondary,no,-372.0,yes,no,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,0.0
26,,,,,,,,,,,,,,,,,0.0
27,,,,,,,,,,,,,,,,,0.0
28,,,,,,,,,,,,,,,,,1.0
29,36.0,technician,single,secondary,no,265.0,yes,yes,unknown,5.0,may,348.0,1.0,-1.0,0.0,unknown,0.0
30,57.0,technician,married,secondary,no,839.0,no,yes,unknown,5.0,may,225.0,1.0,-1.0,0.0,unknown,0.0
31,49.0,management,married,tertiary,no,378.0,yes,no,unknown,5.0,may,230.0,1.0,-1.0,0.0,unknown,0.0
32,,,,,,,,,,,,,,,,,0.0
33,59.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,226.0,1.0,-1.0,0.0,unknown,0.0
34,51.0,management,married,tertiary,no,10635.0,yes,no,unknown,5.0,may,336.0,1.0,-1.0,0.0,unknown,0.0
35,57.0,technician,divorced,secondary,no,63.0,yes,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown,0.0
36,,,,,,,,,,,,,,,,,0.0
37,,,,,,,,,,,,,,,,,0.0
38,,,,,,,,,,,,,,,,,0.0
39,,,,,,,,,,,,,,,,,0.0
40,44.0,services,divorced,secondary,no,2586.0,yes,no,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown,0.0
41,50.0,management,married,secondary,no,49.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0.0,unknown,0.0
42,60.0,blue-collar,married,unknown,no,104.0,yes,no,unknown,5.0,may,22.0,1.0,-1.0,0.0,unknown,0.0
43,54.0,retired,married,secondary,no,529.0,yes,no,unknown,5.0,may,1492.0,1.0,-1.0,0.0,unknown,0.0
44,58.0,retired,married,unknown,no,96.0,yes,no,unknown,5.0,may,616.0,1.0,-1.0,0.0,unknown,0.0
45,,,,,,,,,,,,,,,,,1.0
46,58.0,self-employed,married,tertiary,no,-364.0,yes,no,unknown,5.0,may,355.0,1.0,-1.0,0.0,unknown,0.0
47,44.0,technician,married,secondary,no,0.0,yes,no,unknown,5.0,may,225.0,2.0,-1.0,0.0,unknown,0.0
48,,,,,,,,,,,,,,,,,0.0
49,29.0,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,363.0,1.0,-1.0,0.0,unknown,1.0
50,54.0,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5.0,may,266.0,1.0,-1.0,0.0,unknown,1.0
51,,,,,,,,,,,,,,,,,0.0
52,32.0,management,married,tertiary,no,0.0,yes,no,unknown,5.0,may,179.0,1.0,-1.0,0.0,unknown,0.0
53,42.0,admin.,single,secondary,no,-76.0,yes,no,unknown,5.0,may,787.0,1.0,-1.0,0.0,unknown,0.0
54,24.0,technician,single,secondary,no,-103.0,yes,yes,unknown,5.0,may,145.0,1.0,-1.0,0.0,unknown,0.0
55,,,,,,,,,,,,,,,,,0.0
56,,,,,,,,,,,,,,,,,0.0
57,47.0,blue-collar,married,unknown,no,306.0,yes,no,unknown,5.0,may,13.0,1.0,-1.0,0.0,unknown,0.0
58,40.0,blue-collar,single,unknown,no,24.0,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown,0.0
59,46.0,services,married,primary,no,179.0,yes,no,unknown,5.0,may,1778.0,1.0,-1.0,0.0,unknown,0.0
60,,,,,,,,,,,,,,,,,0.0
61,53.0,technician,divorced,secondary,no,989.0,yes,no,unknown,5.0,may,812.0,1.0,-1.0,0.0,unknown,0.0
62,57.0,blue-collar,married,primary,no,249.0,yes,no,unknown,5.0,may,164.0,1.0,-1.0,0.0,unknown,0.0
63,33.0,services,married,secondary,no,790.0,yes,no,unknown,5.0,may,391.0,1.0,-1.0,0.0,unknown,0.0
64,,,,,,,,,,,,,,,,,0.0
65,,,,,,,,,,,,,,,,,0.0
66,,,,,,,,,,,,,,,,,0.0
67,,,,,,,,,,,,,,,,,0.0
68,55.0,technician,married,secondary,no,1205.0,yes,no,unknown,5.0,may,158.0,2.0,-1.0,0.0,unknown,0.0
69,35.0,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5.0,may,177.0,1.0,-1.0,0.0,unknown,0.0
70,57.0,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5.0,may,258.0,1.0,-1.0,0.0,unknown,0.0
71,,,,,,,,,,,,,,,,,0.0
72,54.0,management,married,secondary,no,282.0,yes,yes,unknown,5.0,may,154.0,1.0,-1.0,0.0,unknown,0.0
73,,,,,,,,,,,,,,,,,0.0
74,,,,,,,,,,,,,,,,,0.0
75,53.0,technician,married,secondary,no,384.0,yes,no,unknown,5.0,may,176.0,1.0,-1.0,0.0,unknown,0.0
76,,,,,,,,,,,,,,,,,0.0
77,,,,,,,,,,,,,,,,,0.0
78,,,,,,,,,,,,,,,,,0.0
79,,,,,,,,,,,,,,,,,0.0
80,,,,,,,,,,,,,,,,,0.0
81,,,,,,,,,,,,,,,,,0.0
82,,,,,,,,,,,,,,,,,0.0
83,,,,,,,,,,,,,,,,,0.0
84,46.0,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5.0,may,246.0,1.0,-1.0,0.0,unknown,0.0
85,,,,,,,,,,,,,,,,,0.0
86,,,,,,,,,,,,,,,,,0.0
87,41.0,technician,married,secondary,no,1270.0,yes,no,unknown,5.0,may,1389.0,1.0,-1.0,0.0,unknown,0.0
88,46.0,management,divorced,secondary,no,16.0,yes,yes,unknown,5.0,may,188.0,2.0,-1.0,0.0,unknown,0.0
89,57.0,retired,married,secondary,no,486.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0.0,unknown,0.0
90,42.0,management,single,secondary,no,50.0,no,no,unknown,5.0,may,48.0,1.0,-1.0,0.0,unknown,0.0
91,30.0,technician,married,secondary,no,152.0,yes,yes,unknown,5.0,may,213.0,2.0,-1.0,0.0,unknown,0.0
92,60.0,admin.,married,secondary,no,290.0,yes,no,unknown,5.0,may,583.0,1.0,-1.0,0.0,unknown,0.0
93,60.0,blue-collar,married,unknown,no,54.0,yes,no,unknown,5.0,may,221.0,1.0,-1.0,0.0,unknown,0.0
94,57.0,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5.0,may,173.0,1.0,-1.0,0.0,unknown,0.0
95,36.0,management,married,tertiary,no,101.0,yes,yes,unknown,5.0,may,426.0,1.0,-1.0,0.0,unknown,0.0
96,,,,,,,,,,,,,,,,,0.0
97,,,,,,,,,,,,,,,,,0.0
98,39.0,technician,married,secondary,no,0.0,yes,no,unknown,5.0,may,203.0,1.0,-1.0,0.0,unknown,0.0
99,46.0,management,married,tertiary,no,229.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0.0,unknown,0.0
100,,,,,,,,,,,,,,,,,0.0
101,53.0,blue-collar,married,primary,no,90.0,no,no,unknown,5.0,may,124.0,1.0,-1.0,0.0,unknown,0.0
102,52.0,blue-collar,married,primary,no,128.0,yes,no,unknown,5.0,may,229.0,1.0,-1.0,0.0,unknown,0.0
103,59.0,blue-collar,married,primary,no,179.0,yes,no,unknown,5.0,may,55.0,3.0,-1.0,0.0,unknown,0.0
104,27.0,technician,single,tertiary,no,0.0,yes,no,unknown,5.0,may,400.0,1.0,-1.0,0.0,unknown,0.0
105,44.0,blue-collar,married,secondary,no,54.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0.0,unknown,0.0
106,47.0,technician,married,tertiary,no,151.0,yes,no,unknown,5.0,may,190.0,1.0,-1.0,0.0,unknown,1.0
107,,,,,,,,,,,,,,,,,0.0
108,,,,,,,,,,,,,,,,,0.0
109,,,,,,,,,,,,,,,,,0.0
110,,,,,,,,,,,,,,,,,0.0
111,,,,,,,,,,,,,,,,,0.0
