,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
217,53.0,unemployed,married,unknown,no,13.0,no,no,unknown,5.0,may,410.0,3.0,-1.0,0.0,unknown,1
34160,54.0,technician,married,secondary,no,0.0,no,no,telephone,30.0,apr,766.0,3.0,84.0,3.0,success,2
34607,30.0,self-employed,single,secondary,no,280.0,no,no,telephone,5.0,may,92.0,3.0,-1.0,0.0,unknown,1
447,50.0,self-employed,married,unknown,no,-84.0,yes,no,unknown,6.0,may,101.0,1.0,-1.0,0.0,unknown,1
23636,60.0,self-employed,married,secondary,no,1690.0,no,no,cellular,28.0,aug,64.0,11.0,-1.0,0.0,unknown,1
21132,30.0,management,married,tertiary,no,1384.0,yes,no,telephone,14.0,aug,60.0,2.0,-1.0,0.0,unknown,1
22210,32.0,technician,single,tertiary,no,0.0,no,no,cellular,21.0,aug,660.0,2.0,-1.0,0.0,unknown,1
10603,49.0,services,divorced,secondary,no,3250.0,no,no,unknown,16.0,jun,32.0,3.0,-1.0,0.0,unknown,1
36302,50.0,entrepreneur,married,primary,no,199.0,no,no,cellular,11.0,may,228.0,2.0,363.0,2.0,failure,1
31676,38.0,unemployed,married,tertiary,no,2012.0,no,no,cellular,7.0,apr,355.0,3.0,-1.0,0.0,unknown,1
12129,42.0,management,married,tertiary,no,0.0,yes,no,unknown,20.0,jun,34.0,3.0,-1.0,0.0,unknown,1
31809,34.0,technician,married,secondary,no,209.0,yes,yes,cellular,8.0,apr,375.0,2.0,-1.0,0.0,unknown,1
14698,36.0,services,divorced,secondary,yes,0.0,no,yes,cellular,15.0,jul,687.0,7.0,-1.0,0.0,unknown,2
28455,46.0,blue-collar,married,secondary,no,-3.0,yes,no,cellular,29.0,jan,79.0,2.0,265.0,2.0,failure,1
3975,44.0,technician,single,secondary,no,696.0,yes,no,unknown,16.0,may,680.0,3.0,-1.0,0.0,unknown,1
36137,42.0,blue-collar,married,primary,no,659.0,yes,no,cellular,11.0,may,91.0,1.0,-1.0,0.0,unknown,1
22060,37.0,management,single,tertiary,no,0.0,no,no,cellular,20.0,aug,225.0,5.0,-1.0,0.0,unknown,1
2601,44.0,technician,married,secondary,no,3790.0,yes,no,unknown,13.0,may,342.0,2.0,-1.0,0.0,unknown,1
39879,33.0,services,divorced,secondary,no,1117.0,no,no,cellular,2.0,jun,417.0,1.0,-1.0,0.0,unknown,2
20586,34.0,self-employed,married,tertiary,no,0.0,no,no,cellular,12.0,aug,117.0,4.0,-1.0,0.0,unknown,1
21913,44.0,management,married,tertiary,no,0.0,no,no,cellular,20.0,aug,122.0,2.0,-1.0,0.0,unknown,1
18411,32.0,services,married,secondary,no,0.0,no,no,cellular,31.0,jul,105.0,6.0,-1.0,0.0,unknown,1
44195,57.0,blue-collar,married,primary,no,3498.0,no,no,cellular,15.0,jul,210.0,2.0,456.0,2.0,success,1
12995,57.0,technician,married,tertiary,no,-40.0,no,yes,cellular,7.0,jul,88.0,1.0,-1.0,0.0,unknown,1
17310,31.0,technician,married,secondary,no,17.0,yes,no,cellular,28.0,jul,266.0,3.0,-1.0,0.0,unknown,1
27757,40.0,technician,single,secondary,no,2017.0,yes,no,cellular,28.0,jan,105.0,1.0,244.0,1.0,other,1
29804,53.0,self-employed,single,unknown,no,289.0,no,no,cellular,4.0,feb,502.0,1.0,-1.0,0.0,unknown,1
33539,39.0,services,single,secondary,no,0.0,yes,yes,cellular,20.0,apr,286.0,4.0,-1.0,0.0,unknown,1
31378,26.0,management,single,tertiary,no,2786.0,no,no,cellular,23.0,mar,415.0,1.0,-1.0,0.0,unknown,2
39155,35.0,admin.,single,secondary,no,184.0,yes,no,cellular,18.0,may,181.0,2.0,-1.0,0.0,unknown,1
24272,40.0,technician,married,secondary,no,17.0,no,no,telephone,17.0,nov,192.0,1.0,-1.0,0.0,unknown,1
7004,31.0,admin.,single,tertiary,no,1531.0,yes,no,unknown,28.0,may,48.0,5.0,-1.0,0.0,unknown,1
37040,34.0,admin.,single,primary,no,286.0,yes,no,cellular,13.0,may,329.0,1.0,-1.0,0.0,unknown,1
12513,50.0,management,married,tertiary,no,830.0,no,no,unknown,2.0,jul,60.0,2.0,-1.0,0.0,unknown,1
12654,53.0,blue-collar,married,primary,no,207.0,no,yes,unknown,4.0,jul,212.0,1.0,-1.0,0.0,unknown,1
6450,45.0,admin.,married,secondary,no,-173.0,yes,no,unknown,27.0,may,315.0,2.0,-1.0,0.0,unknown,1
28007,49.0,technician,married,secondary,no,177.0,yes,yes,cellular,28.0,jan,90.0,1.0,204.0,1.0,failure,1
6740,45.0,blue-collar,married,unknown,no,-320.0,yes,no,unknown,28.0,may,204.0,3.0,-1.0,0.0,unknown,1
32715,40.0,blue-collar,married,secondary,no,1028.0,yes,yes,cellular,17.0,apr,319.0,1.0,-1.0,0.0,unknown,1
43452,29.0,admin.,single,secondary,no,1992.0,no,no,cellular,12.0,apr,119.0,2.0,-1.0,0.0,unknown,1
18672,42.0,technician,married,secondary,no,1812.0,yes,no,cellular,31.0,jul,84.0,2.0,-1.0,0.0,unknown,1
13960,48.0,technician,married,secondary,no,454.0,yes,no,cellular,10.0,jul,114.0,1.0,-1.0,0.0,unknown,1
9869,38.0,technician,single,tertiary,no,1619.0,no,no,unknown,9.0,jun,324.0,1.0,-1.0,0.0,unknown,1
24882,38.0,entrepreneur,married,unknown,no,259.0,no,no,cellular,18.0,nov,63.0,1.0,-1.0,0.0,unknown,1
34998,54.0,blue-collar,married,primary,no,162.0,yes,no,cellular,6.0,may,184.0,1.0,-1.0,0.0,unknown,1
42244,82.0,retired,divorced,tertiary,no,0.0,no,no,telephone,12.0,nov,226.0,1.0,-1.0,0.0,unknown,2
27801,48.0,technician,married,secondary,no,0.0,yes,no,cellular,28.0,jan,123.0,1.0,204.0,1.0,failure,1
34684,24.0,admin.,single,tertiary,no,805.0,yes,no,cellular,5.0,may,169.0,2.0,-1.0,0.0,unknown,1
6541,33.0,technician,single,tertiary,no,231.0,yes,no,unknown,27.0,may,198.0,2.0,-1.0,0.0,unknown,1
43252,35.0,technician,married,secondary,no,294.0,yes,no,cellular,9.0,mar,301.0,1.0,90.0,4.0,success,2
41542,38.0,unknown,single,tertiary,no,0.0,no,no,cellular,11.0,sep,260.0,3.0,95.0,3.0,success,2
7661,53.0,technician,married,secondary,no,2647.0,yes,no,unknown,30.0,may,121.0,1.0,-1.0,0.0,unknown,1
22464,33.0,technician,single,secondary,no,80.0,no,no,cellular,22.0,aug,572.0,2.0,-1.0,0.0,unknown,1
18650,37.0,self-employed,married,tertiary,no,208.0,yes,no,cellular,31.0,jul,350.0,5.0,-1.0,0.0,unknown,1
18522,35.0,management,married,tertiary,no,2801.0,yes,no,cellular,31.0,jul,184.0,2.0,-1.0,0.0,unknown,1
12682,44.0,entrepreneur,married,secondary,no,93.0,no,no,cellular,7.0,jul,125.0,2.0,-1.0,0.0,unknown,1
21625,37.0,entrepreneur,married,secondary,no,46.0,no,yes,cellular,19.0,aug,119.0,4.0,-1.0,0.0,unknown,1
1437,35.0,blue-collar,single,secondary,no,907.0,yes,yes,unknown,8.0,may,242.0,1.0,-1.0,0.0,unknown,1
29081,38.0,technician,married,secondary,no,10.0,no,no,cellular,2.0,feb,86.0,1.0,161.0,5.0,other,1
16106,54.0,management,married,tertiary,no,122.0,yes,no,cellular,22.0,jul,126.0,3.0,-1.0,0.0,unknown,1
29756,32.0,unemployed,single,secondary,no,5670.0,no,no,cellular,4.0,feb,326.0,1.0,-1.0,0.0,unknown,1
14404,29.0,blue-collar,married,secondary,no,-191.0,no,yes,cellular,14.0,jul,115.0,2.0,-1.0,0.0,unknown,1
16083,45.0,admin.,married,secondary,no,644.0,no,yes,telephone,22.0,jul,92.0,1.0,-1.0,0.0,unknown,1
7759,43.0,blue-collar,married,primary,no,6614.0,no,no,unknown,30.0,may,192.0,4.0,-1.0,0.0,unknown,1
22429,37.0,management,single,tertiary,no,767.0,no,no,cellular,22.0,aug,160.0,2.0,-1.0,0.0,unknown,1
3715,53.0,unemployed,married,secondary,no,76.0,yes,yes,unknown,16.0,may,283.0,1.0,-1.0,0.0,unknown,1
4847,34.0,services,married,secondary,no,0.0,yes,no,unknown,21.0,may,872.0,5.0,-1.0,0.0,unknown,1
39470,35.0,management,single,tertiary,no,2486.0,yes,no,cellular,25.0,may,265.0,1.0,-1.0,0.0,unknown,1
36539,40.0,blue-collar,married,primary,no,780.0,yes,no,cellular,12.0,may,206.0,1.0,357.0,1.0,failure,1
4583,32.0,technician,married,secondary,no,11697.0,yes,no,unknown,20.0,may,296.0,1.0,-1.0,0.0,unknown,1
25288,36.0,technician,divorced,secondary,no,556.0,yes,no,cellular,18.0,nov,154.0,3.0,189.0,1.0,failure,1
28111,37.0,management,married,primary,no,4721.0,no,no,telephone,28.0,jan,46.0,1.0,-1.0,0.0,unknown,1
1270,48.0,blue-collar,married,primary,no,4.0,yes,no,unknown,8.0,may,198.0,1.0,-1.0,0.0,unknown,1
2972,45.0,blue-collar,married,secondary,no,141.0,yes,yes,unknown,14.0,may,21.0,10.0,-1.0,0.0,unknown,1
6956,58.0,retired,married,secondary,no,255.0,no,no,unknown,28.0,may,362.0,3.0,-1.0,0.0,unknown,1
40476,21.0,student,single,secondary,no,39.0,no,no,cellular,6.0,jul,207.0,2.0,-1.0,0.0,unknown,1
28090,28.0,management,single,tertiary,no,20.0,no,no,cellular,28.0,jan,144.0,2.0,-1.0,0.0,unknown,1
10569,39.0,management,married,tertiary,no,627.0,no,no,unknown,16.0,jun,32.0,2.0,-1.0,0.0,unknown,1
38597,28.0,blue-collar,single,secondary,no,3412.0,yes,no,cellular,15.0,may,22.0,4.0,-1.0,0.0,unknown,1
26577,35.0,admin.,married,secondary,no,3863.0,yes,no,cellular,20.0,nov,239.0,1.0,-1.0,0.0,unknown,1
32661,53.0,services,married,secondary,no,197.0,yes,no,cellular,17.0,apr,307.0,1.0,-1.0,0.0,unknown,1
44294,40.0,technician,married,secondary,no,0.0,yes,yes,cellular,26.0,jul,105.0,2.0,172.0,1.0,failure,1
25635,54.0,blue-collar,married,primary,no,6191.0,no,no,cellular,19.0,nov,102.0,2.0,-1.0,0.0,unknown,1
22182,52.0,technician,divorced,secondary,no,225.0,no,no,cellular,21.0,aug,58.0,2.0,-1.0,0.0,unknown,1
28346,27.0,unemployed,married,secondary,no,1167.0,no,no,cellular,29.0,jan,394.0,1.0,-1.0,0.0,unknown,1
37042,28.0,blue-collar,single,primary,no,431.0,yes,no,cellular,13.0,may,68.0,2.0,363.0,2.0,failure,1
15305,52.0,technician,married,secondary,no,2102.0,yes,no,cellular,18.0,jul,292.0,2.0,-1.0,0.0,unknown,1
22950,35.0,management,single,tertiary,no,714.0,yes,no,cellular,26.0,aug,135.0,22.0,-1.0,0.0,unknown,1
4968,34.0,admin.,married,secondary,no,1191.0,yes,no,unknown,21.0,may,383.0,2.0,-1.0,0.0,unknown,1
36655,48.0,technician,divorced,secondary,no,94.0,yes,no,cellular,12.0,may,87.0,2.0,-1.0,0.0,unknown,1
15301,51.0,technician,married,secondary,no,428.0,no,yes,cellular,18.0,jul,145.0,2.0,-1.0,0.0,unknown,1
27785,28.0,services,divorced,secondary,no,356.0,no,no,cellular,28.0,jan,296.0,1.0,-1.0,0.0,unknown,1
1362,39.0,admin.,single,secondary,no,762.0,yes,no,unknown,8.0,may,288.0,1.0,-1.0,0.0,unknown,1
21260,51.0,technician,divorced,secondary,no,2323.0,yes,yes,cellular,18.0,aug,151.0,10.0,-1.0,0.0,unknown,1
5998,49.0,technician,married,secondary,no,-215.0,yes,no,unknown,26.0,may,155.0,2.0,-1.0,0.0,unknown,1
35931,27.0,admin.,single,secondary,no,3.0,yes,no,cellular,8.0,may,346.0,2.0,-1.0,0.0,unknown,1
6291,29.0,blue-collar,married,primary,no,715.0,yes,no,unknown,27.0,may,170.0,1.0,-1.0,0.0,unknown,1
2303,33.0,blue-collar,divorced,secondary,no,176.0,yes,no,unknown,12.0,may,157.0,5.0,-1.0,0.0,unknown,1
846,37.0,management,married,tertiary,no,0.0,yes,no,unknown,7.0,may,228.0,1.0,-1.0,0.0,unknown,1
41119,36.0,admin.,married,secondary,no,953.0,yes,no,cellular,17.0,aug,80.0,1.0,81.0,2.0,failure,1
12006,31.0,admin.,single,secondary,no,1016.0,yes,no,unknown,20.0,jun,9.0,5.0,-1.0,0.0,unknown,1
19187,53.0,admin.,married,secondary,no,1373.0,no,no,cellular,5.0,aug,78.0,2.0,-1.0,0.0,unknown,1
2994,46.0,blue-collar,married,primary,no,501.0,yes,no,unknown,14.0,may,230.0,2.0,-1.0,0.0,unknown,1
6294,28.0,student,single,tertiary,no,737.0,yes,no,unknown,27.0,may,125.0,1.0,-1.0,0.0,unknown,1
2567,45.0,admin.,married,secondary,no,985.0,yes,no,unknown,13.0,may,390.0,1.0,-1.0,0.0,unknown,1
31143,25.0,student,married,tertiary,no,4923.0,yes,yes,cellular,19.0,feb,266.0,2.0,219.0,12.0,other,1
